war,total_offense,total_defense,efficiency,expected_goals,goals_above_expected,goals_above_replacement,player_name,match_id,scraped_at
45.0,27.0,26.0,7.0,0.36,-0.36,-0.75,MrBazzzz,2136046850090,2025-10-09T00:04:18.309096
67.0,100.0,48.0,57.0,0.18,-0.18,-0.75,Mcapp_1,2136046850090,2025-10-09T00:04:23.946428
37.0,100.0,0.0,37.0,1.44,-0.44,0.25,TwoInchTommy565,2136046850090,2025-10-09T00:04:29.572122
55.0,100.0,5.0,48.0,0.54,0.46,0.25,NYKings06,2136046850090,2025-10-09T00:04:35.201900
78.0,26.0,96.0,7.0,0.18,-0.18,-0.75,Slick__AV,2136046850090,2025-10-09T00:04:40.833666
31.0,14.0,0.0,1.0,0.0,0.0,0.0,MrBazzzz,2132166710082,2025-10-09T00:05:01.722772
27.0,5.0,0.0,5.0,0.0,0.0,0.0,Mcapp_1,2132166710082,2025-10-09T00:05:07.350943
36.0,2.0,38.0,2.0,0.0,0.0,0.0,TwoInchTommy565,2132166710082,2025-10-09T00:05:12.973645
37.0,50.0,38.0,7.0,0.3,-0.3,-0.53,NYKings06,2132166710082,2025-10-09T00:05:18.598056
42.0,8.0,8.0,8.0,0.0,0.0,0.0,Slick__AV,2132166710082,2025-10-09T00:05:24.215177
24.0,38.0,0.0,7.0,0.64,-0.64,-0.81,MrBazzzz,2124907180024,2025-10-09T00:05:44.239879
44.0,68.0,10.0,30.0,0.32,0.68,0.19,Mcapp_1,2124907180024,2025-10-09T00:05:49.869241
53.0,100.0,0.0,67.0,1.29,-1.29,-0.81,TwoInchTommy565,2124907180024,2025-10-09T00:05:55.497881
90.0,100.0,38.0,92.0,1.13,0.87,1.19,NYKings06,2124907180024,2025-10-09T00:06:01.132444
29.0,48.0,0.0,30.0,0.0,0.0,0.0,Slick__AV,2124907180024,2025-10-09T00:06:06.770122
44.0,49.0,0.0,31.0,0.0,0.0,0.0,MrBazzzz,2124574950033,2025-10-09T00:06:26.966929
100.0,57.0,100.0,22.0,0.15,-0.15,-0.73,Mcapp_1,2124574950033,2025-10-09T00:06:32.582680
56.0,100.0,26.0,53.0,0.87,0.13,0.27,TwoInchTommy565,2124574950033,2025-10-09T00:06:38.215269
76.0,100.0,0.0,65.0,1.31,0.69,1.27,NYKings06,2124574950033,2025-10-09T00:06:43.830334
